product_id,name,community,category,price,rating,tags
H001,Embroidered Silk Sherwani,Hindu,Top,150.00,4.8,"silk,embroidery,wedding,formal,sherwani,festive"
H002,Classic Cotton Kurta,Hindu,Top,65.00,4.7,"cotton,casual,kurta,daily,breathable"
H003,Georgette Saree with Blouse,Hindu,Full Length,150.00,4.9,"saree,georgette,festive,drape,traditional"
H004,Premium Velvet Lehenga,Hindu,Full Length,200.00,4.8,"velvet,lehenga,wedding,bridal,premium"
H005,Festive Anarkali Suit,Hindu,Full Length,120.00,4.6,"anarkali,festive,embroidery,elegant,suit"
H006,Banarasi Silk Dupatta,Hindu,Accessory,45.00,4.5,"silk,dupatta,banarasi,festive,accessory"
H007,Zari Work Nehru Jacket,Hindu,Top,95.00,4.7,"zari,nehru,jacket,formal,wedding"
H008,Chanderi Cotton Palazzo Set,Hindu,Full Length,85.00,4.4,"chanderi,cotton,palazzo,casual,comfort"
H009,Temple Jewellery Necklace Set,Hindu,Accessory,55.00,4.6,"jewellery,temple,gold,necklace,traditional"
H010,Diwali Special Kurta Pajama,Hindu,Full Length,110.00,4.5,"kurta,pajama,diwali,festive,men"
H011,Kanjivaram Silk Saree,Hindu,Full Length,350.00,4.9,"kanjivaram,silk,saree,bridal,luxury"
H012,Block Print Kurti,Hindu,Top,40.00,4.3,"block-print,kurti,casual,cotton,daily"
M001,Modest Chiffon Hijab,Muslim,Accessory,25.00,4.7,"hijab,chiffon,modest,daily,breathable"
M002,Embroidered Abaya,Muslim,Full Length,150.00,4.8,"abaya,embroidery,modest,elegant,formal"
M003,Premium Jersey Hijab,Muslim,Accessory,15.00,4.5,"hijab,jersey,stretch,daily,comfort"
M004,Lace Trim Kaftan,Muslim,Full Length,80.00,4.6,"kaftan,lace,modest,casual,elegant"
M005,Printed Modest Maxi Dress,Muslim,Full Length,65.00,4.4,"maxi,printed,modest,casual,dress"
M006,Silk Formal Thobe,Muslim,Full Length,120.00,4.7,"thobe,silk,formal,men,elegant"
M007,Embroidered Prayer Cap,Muslim,Accessory,10.00,4.3,"cap,prayer,embroidery,daily,men"
M008,Modest Swim Set,Muslim,Full Length,55.00,4.2,"swim,modest,active,sport,women"
M009,Pearl Detail Hijab Pin Set,Muslim,Accessory,12.00,4.6,"pin,pearl,hijab,accessory,elegant"
M010,Moroccan Caftan Dress,Muslim,Full Length,135.00,4.8,"caftan,moroccan,embroidery,festive,luxury"
M011,Modest Linen Tunic,Muslim,Top,40.00,4.4,"linen,tunic,modest,casual,breathable"
M012,Eid Special Gold Abaya,Muslim,Full Length,175.00,4.9,"abaya,gold,eid,festive,premium"
S001,Heritage Turban Fabric,Sikh,Accessory,35.00,4.8,"turban,fabric,heritage,daily,traditional"
S002,Classic Patiala Salwar Set,Sikh,Full Length,75.00,4.6,"patiala,salwar,traditional,casual,cotton"
S003,Silk Kurta with Churidar,Sikh,Full Length,110.00,4.7,"silk,kurta,churidar,formal,festive"
S004,Embroidered Phulkari Dupatta,Sikh,Accessory,50.00,4.9,"phulkari,dupatta,embroidery,heritage,craft"
S005,Royal Blue Sherwani,Sikh,Top,180.00,4.8,"sherwani,royal,blue,wedding,formal"
S006,Traditional Chudidar Kurta,Sikh,Full Length,65.00,4.4,"chudidar,kurta,cotton,daily,comfort"
S007,Baisakhi Special Kurta,Sikh,Top,90.00,4.5,"baisakhi,kurta,festive,celebration,men"
